순번(NO),업종,코드,세부업종,카드사용금액,모바일사용액,지류상품권사용액,사용비율
92,연료판매점,3306,SK가스충전소,40727602,해당없음,해당없음,0.04
93,레저업소,2112,테니스장,38472450,해당없음,해당없음,0.04
94,레저업소,2111,볼 링 장,36072946,해당없음,해당없음,0.04
95,문화.취미,2299,문화취미기타,35037248,해당없음,해당없음,0.04
96,학원,5123,유아원,33597530,해당없음,해당없음,0.04
97,자동차정비 유지,6120,카인테리어,30673320,해당없음,해당없음,0.03
98,기타,9911,비영리/비대상,29377940,해당없음,해당없음,0.03
99,신변잡화,4410,시계,27817675,해당없음,해당없음,0.03
100,일반휴게음식,8002,갈비전문점,27366021,해당없음,해당없음,0.03
101,용역 서비스,9121,화물운송,27005500,해당없음,해당없음,0.03
102,학원,5106,학습지 교육,26997000,해당없음,해당없음,0.03
103,유통업 영리,4099,기타유통업,26832395,해당없음,해당없음,0.03
104,건축자재,9003,조명기구,26742348,해당없음,해당없음,0.03
105,일반휴게음식,8010,칵테일바,26654514,해당없음,해당없음,0.03
106,연료판매점,3307,GS주유소,26327156,해당없음,해당없음,0.03
107,보건위생,7111,미용재료,25544220,해당없음,해당없음,0.03
108,주방용구,3201,주방용구,24711398,해당없음,해당없음,0.03
109,의류,4210,맞춤복점,24145250,해당없음,해당없음,0.03
110,연료판매점,3302,LPG 취급점,23336765,해당없음,해당없음,0.02
111,의류,4299,기타의류,21129116,해당없음,해당없음,0.02
112,연료판매점,3313,쌍용S-OIL 가스충전소,19460300,해당없음,해당없음,0.02
113,사무통신,5210,통신기기,19044617,해당없음,해당없음,0.02
114,학원,5103,컴퓨터학원,17967282,해당없음,해당없음,0.02
115,건축자재,9099,기타건축자재,17646416,해당없음,해당없음,0.02
116,직물,4301,옷감 직물,17392211,해당없음,해당없음,0.02
117,사무통신,5201,컴퓨터,16716661,해당없음,해당없음,0.02
118,자동차판매,6004,이륜차판매,15265000,해당없음,해당없음,0.02
119,연료판매점,3304,유류판매,14952750,해당없음,해당없음,0.02
120,신변잡화,4401,가방,14348836,해당없음,해당없음,0.01
121,신변잡화,4420,제화,13681110,해당없음,해당없음,0.01
122,레져용품,2010,악기점,12273000,해당없음,해당없음,0.01
123,약국,7042,한약방,11603680,해당없음,해당없음,0.01
124,서적문구,5099,기타서적문구,11579440,해당없음,해당없음,0.01
125,보건위생,7101,이용원,11491460,해당없음,해당없음,0.01
126,수리서비스,9202,가정용품수리,10861200,해당없음,해당없음,0.01
127,기타,9910,비영리/대상,10820980,해당없음,해당없음,0.01
128,용역 서비스,9101,종합용역,10669200,해당없음,해당없음,0.01
129,수리서비스,9201,레져용품수리,10490450,해당없음,해당없음,0.01
130,건축자재,9010,인테리어전문,10076262,해당없음,해당없음,0.01
131,농업,9601,농기계,10009870,해당없음,해당없음,0.01
132,회원제형태,9306,건강식품,9970060,해당없음,해당없음,0.01
133,문화.취미,2220,수족관,9550410,해당없음,해당없음,0.01
134,서적문구,5002,전문서적,8806775,해당없음,해당없음,0.01
135,가구,3099,기타가구,8044920,해당없음,해당없음,0.01
136,건축자재,9005,유리,7799120,해당없음,해당없음,0.01
137,음료식품,8303,주류 판매점,7790835,해당없음,해당없음,0.01
138,전기제품,3102,냉열기기,7503450,해당없음,해당없음,0.01
139,용역 서비스,9110,가례서비스업,7200000,해당없음,해당없음,0.01
140,수리서비스,9204,사무 통신기기수리,7146500,해당없음,해당없음,0.01
141,레저업소,2113,수 영 장,6514805,해당없음,해당없음,0.01
142,유통업 영리,4031,복지매장,6338240,해당없음,해당없음,0.01
143,보건위생,7121,안마시술소,6173600,해당없음,해당없음,0.01
144,사무통신,5202,사무용 OA기기,5890500,해당없음,해당없음,0.01
145,유통업 영리,4021,연 쇄 점,5812696,해당없음,해당없음,0.01
146,자동차정비 유지,6140,주차장,5601100,해당없음,해당없음,0.01
147,전기제품,3199,기타전기제품,4975370,해당없음,해당없음,0.01
148,건축자재,9002,건축용 요업제품,4913950,해당없음,해당없음,0.01
149,신변잡화,4430,기념품점,4229500,해당없음,해당없음,0
150,용역 서비스,9132,법률회계서비스(개인),3340940,해당없음,해당없음,0
151,건축자재,9004,페인트,3194780,해당없음,해당없음,0
152,문화.취미,2201,골동품점,3166860,해당없음,해당없음,0
153,건강식품,8402,인삼제품,2831500,해당없음,해당없음,0
154,자동차정비 유지,6150,견인서비스,2424134,해당없음,해당없음,0
155,회원제형태,9395,기타1,1889800,해당없음,해당없음,0
156,사무통신,5299,기타 사무용품,1825500,해당없음,해당없음,0
157,학원,5122,유치원,1808000,해당없음,해당없음,0
158,문화.취미,2202,화랑,1604300,해당없음,해당없음,0
159,일반휴게음식,8031,위탁급식업,1579500,해당없음,해당없음,0
160,수리서비스,9203,신변잡화수리,1362000,해당없음,해당없음,0
161,수리서비스,9299,기타수리서비스,932000,해당없음,해당없음,0
162,광학제품,3499,기타광학제품,541470,해당없음,해당없음,0
163,광학제품,3401,카메라,500000,해당없음,해당없음,0
164,용역 서비스,9133,부동산 중개 임대,443105,해당없음,해당없음,0
165,문화.취미,2210,화방 표구점,435500,해당없음,해당없음,0
166,미분류,9301,미분류 기타,306619,해당없음,해당없음,0
167,유통업 영리,4076,인터넷P/G,289100,해당없음,해당없음,0
168,회원제형태,9397,기타3,150000,해당없음,해당없음,0
169,전자상거래,6502,인터넷 몰,41600,해당없음,해당없음,0
170,주방용구,3210,정수기,20000,해당없음,해당없음,0
171,기타,0,기타,846,해당없음,해당없음,0
